eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)
10kmE277N222	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE383N315	3048831	Cakile maritima	a307e4d7-1de2-4adc-95d5-a0a8d5f57236	BE	PRESERVED_SPECIMEN	1
10kmE391N322	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	6
10kmE404N338	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	64
10kmE274N215	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	PT	HUMAN_OBSERVATION	1
10kmE389N320	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	8
10kmE398N337	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	2
10kmE401N337	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	NL	PRESERVED_SPECIMEN	1
10kmE402N337	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE382N314	3048831	Cakile maritima	3b91f3e4-17da-4965-a8d5-4e8c9296477b	BE	HUMAN_OBSERVATION	3
10kmE383N314	3048831	Cakile maritima	bfc6fe18-77c7-4ede-a555-9207d60d1d86	BE	HUMAN_OBSERVATION	63
10kmE391N314	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	2
10kmE391N322	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	45
10kmE395N321	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	3
10kmE404N333	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE385N310	3048831	Cakile maritima	bfc6fe18-77c7-4ede-a555-9207d60d1d86	BE	HUMAN_OBSERVATION	1
10kmE396N334	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	NL	HUMAN_OBSERVATION	3
10kmE398N332	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	2
10kmE386N317	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	8
10kmE402N335	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	36
